WELL_PERMIT_NUM,PERIOD_ID,REPORTING_PERIOD,PRODUCTION_INDICATOR,WASTE_INDICATOR,WELL_STATUS,FARM_NAME_WELL_NUM,SPUD_DATE,GAS_QUANTITY,GAS_PRODUCTION_DAYS,CONDENSATE_QUANTITY,CONDENSATE_PRODUCTION_DAYS,OIL_QUANTITY,OIL_PRODUCTION_DAYS,AVERAGED,GROUP_NO,OPERATOR,OGO_NUM,WELL_COUNTY,WELL_MUNICIPALITY,WELL_LATITUDE,WELL_LONGITUDE,UNCONVENTIONAL,WELL_CONFIGURATION,WELL_TYPE,PRODUCTION_PERIOD_START_DATE,PRODUCTION_PERIOD_END_DATE,NON_PRODUCTION_COMMENTS,ADDITIONAL_COMMENTS,RECORD_SOURCE,SUBMISSION_FINAL_DATE,REPORT_GENERATED_DATE
005-31098,21JANP,Jan 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,15719.62,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,1/1/21,1/31/21,,,OGRE,3/17/21,9/29/21
005-31098,21JULP,Jul 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,15009.6,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,7/1/21,7/31/21,,,OGRE,9/13/21,9/29/21
005-31098,21JUNP,Jun 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,14574.53,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,6/1/21,6/30/21,,,OGRE,8/13/21,9/29/21
005-31098,21MARP,Mar 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,15419.51,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,3/1/21,3/31/21,,,OGRE,5/14/21,9/29/21
005-31098,21MAYP,May 2021 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 1H,12/14/13,15287.02,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594178,-79.412125,Yes,Horizontal Well,GAS,5/1/21,5/31/21,,,OGRE,7/15/21,9/29/21
005-31179,19APRP,Apr 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13933,30,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,4/1/19,4/30/19,,,OGRE,6/10/19,9/29/21
005-31179,19AUGP,Aug 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12659,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,8/1/19,8/31/19,,,OGRE,12/4/19,9/29/21
005-31179,19DECP,Dec 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,12579,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,12/1/19,12/31/19,,,OGRE,2/3/20,9/29/21
005-31179,19FEBP,Feb 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13423,28,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,2/1/19,2/28/19,,,OGRE,4/1/19,9/29/21
005-31179,19JANP,Jan 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,14787,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,1/1/19,1/31/19,,,OGRE,3/5/19,9/29/21
005-31179,19JULP,Jul 2019 (PRODUCTION: Unconventional wells),Yes,No,Active,SPRING CHURCH UNIT 3H,12/15/13,13647,31,,,,,No,,EQT CHAP LLC,OGO-39307,ARMSTRONG,SOUTH BEND,40.594208,-79.412161,Yes,Horizontal Well,GAS,7/1/19,7/31/19,,,OGRE,8/21/19,9/29/21
